dataset,method,seed,run_tag,ablation_family,config,run_dir_exists,log_exists,metrics_csv_exists,checkpoint_dir_exists,checkpoint_files,log_starts,completed,status,total_time_sec,mean_task_time_sec,max_task_time_sec,n_completed_tasks,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,er_ewc,456,buf500,buffer,ablate_split_cifar10_er_ewc_buf500.yaml,True,True,True,True,0,1,True,completed,194.1,38.82,55.2,5,35.48,46.7625,-46.7625,-14.1042
split_cifar10,er_ewc,789,buf500,buffer,ablate_split_cifar10_er_ewc_buf500.yaml,True,True,True,True,0,1,True,completed,207.7,41.54,66.6,5,36.83,52.2625,-52.2625,-15.1417
split_cifar10,er_ewc,1024,buf500,buffer,ablate_split_cifar10_er_ewc_buf500.yaml,True,True,True,True,0,1,True,completed,165.7,33.14,45.6,5,31.22,62.275,-62.275,-14.8417
split_cifar10,icarl,42,buf100,buffer,ablate_split_cifar10_icarl_buf100.yaml,True,True,True,True,0,1,True,completed,131.8,26.36,31.0,5,23.38,34.4875,-32.0375,-16.0417
split_cifar10,icarl,123,buf100,buffer,ablate_split_cifar10_icarl_buf100.yaml,True,True,True,True,0,1,True,completed,99.9,19.98,24.7,5,26.4,36.15,-35.925,-16.0417
split_cifar10,icarl,456,buf100,buffer,ablate_split_cifar10_icarl_buf100.yaml,True,True,True,True,0,1,True,completed,97.3,19.46,26.7,5,25.47,45.45,-45.45,-16.0417
split_cifar10,icarl,789,buf100,buffer,ablate_split_cifar10_icarl_buf100.yaml,True,True,True,True,0,1,True,completed,101.7,20.34,23.9,5,28.02,38.775,-38.775,-16.0417
split_cifar10,icarl,1024,buf100,buffer,ablate_split_cifar10_icarl_buf100.yaml,True,True,True,True,0,1,True,completed,106.5,21.3,26.5,5,27.44,42.6,-42.6,-16.0417
split_cifar10,icarl,42,buf200,buffer,ablate_split_cifar10_icarl_buf200.yaml,True,True,True,True,0,1,True,completed,89.3,17.86,26.6,5,27.94,35.8,-35.1625,-16.0417
split_cifar10,icarl,123,buf200,buffer,ablate_split_cifar10_icarl_buf200.yaml,True,True,True,True,0,1,True,completed,96.9,19.38,26.3,5,28.81,27.675,-27.1625,-16.0417
split_cifar10,icarl,456,buf200,buffer,ablate_split_cifar10_icarl_buf200.yaml,True,True,True,True,0,1,True,completed,107.7,21.54,26.8,5,23.25,43.4375,-43.4375,-16.0417
split_cifar10,icarl,789,buf200,buffer,ablate_split_cifar10_icarl_buf200.yaml,True,True,True,True,0,1,True,completed,90.5,18.1,19.9,5,26.53,36.1375,-36.1375,-16.0417
split_cifar10,icarl,1024,buf200,buffer,ablate_split_cifar10_icarl_buf200.yaml,True,True,True,True,0,1,True,completed,98.4,19.68,22.7,5,27.09,36.3,-36.3,-16.0417
split_cifar10,icarl,42,buf500,buffer,ablate_split_cifar10_icarl_buf500.yaml,True,True,True,True,0,1,True,completed,91.7,18.34,21.2,5,26.67,39.5375,-39.5375,-16.0417
split_cifar10,icarl,123,buf500,buffer,ablate_split_cifar10_icarl_buf500.yaml,True,True,True,True,0,1,True,completed,111.5,22.3,26.5,5,25.5,38.9625,-38.9625,-16.0417
split_cifar10,icarl,456,buf500,buffer,ablate_split_cifar10_icarl_buf500.yaml,True,True,True,True,0,1,True,completed,83.3,16.66,19.5,5,26.58,44.175,-44.175,-16.0417
split_cifar10,icarl,789,buf500,buffer,ablate_split_cifar10_icarl_buf500.yaml,True,True,True,True,0,1,True,completed,103.7,20.74,26.3,5,29.33,38.05,-38.05,-16.0417
split_cifar10,icarl,1024,buf500,buffer,ablate_split_cifar10_icarl_buf500.yaml,True,True,True,True,0,1,True,completed,103.2,20.64,24.9,5,28.16,38.05,-38.05,-16.0417
split_cifar10,si_der,42,buf100,buffer,ablate_split_cifar10_si_der_buf100.yaml,True,True,True,True,0,1,True,completed,204.5,40.9,44.8,5,16.78,79.875,-79.875,-15.9292
split_cifar10,si_der,123,buf100,buffer,ablate_split_cifar10_si_der_buf100.yaml,True,True,True,True,0,1,True,completed,218.6,43.72,51.7,5,17.68,83.2125,-83.2125,-16.0417
split_cifar10,si_der,456,buf100,buffer,ablate_split_cifar10_si_der_buf100.yaml,True,True,True,True,0,1,True,completed,217.1,43.42,54.8,5,16.48,79.775,-79.775,-13.2167
split_cifar10,si_der,789,buf100,buffer,ablate_split_cifar10_si_der_buf100.yaml,True,True,True,True,0,1,True,completed,220.1,44.02,60.2,5,16.65,80.9125,-80.9125,-11.4417
split_cifar10,si_der,1024,buf100,buffer,ablate_split_cifar10_si_der_buf100.yaml,True,True,True,True,0,1,True,completed,221.0,44.2,54.3,5,16.74,82.5875,-82.5875,-10.1042
split_cifar10,si_der,42,buf200,buffer,ablate_split_cifar10_si_der_buf200.yaml,True,True,True,True,0,1,True,completed,212.6,42.52,50.0,5,16.34,78.1375,-78.1375,-16.0417
split_cifar10,si_der,123,buf200,buffer,ablate_split_cifar10_si_der_buf200.yaml,True,True,True,True,0,1,True,completed,194.8,38.96,42.9,5,16.52,79.35,-79.35,-16.0417
split_cifar10,si_der,456,buf200,buffer,ablate_split_cifar10_si_der_buf200.yaml,True,True,True,True,0,1,True,completed,221.2,44.24,48.6,5,17.41,80.7625,-80.7625,-9.2167
split_cifar10,si_der,789,buf200,buffer,ablate_split_cifar10_si_der_buf200.yaml,True,True,True,True,0,1,True,completed,216.9,43.38,52.1,5,17.41,80.85,-80.85,-11.7667
split_cifar10,si_der,1024,buf200,buffer,ablate_split_cifar10_si_der_buf200.yaml,True,True,True,True,0,1,True,completed,220.4,44.08,52.5,5,17.34,81.5125,-81.5125,-12.6167
split_cifar10,si_der,42,buf500,buffer,ablate_split_cifar10_si_der_buf500.yaml,True,True,True,True,0,1,True,completed,209.4,41.88,52.3,5,15.2,76.3,-76.3,-16.0417
split_cifar10,si_der,123,buf500,buffer,ablate_split_cifar10_si_der_buf500.yaml,True,True,True,True,0,1,True,completed,231.7,46.34,54.7,5,15.34,78.275,-78.275,-16.0417
split_cifar10,si_der,456,buf500,buffer,ablate_split_cifar10_si_der_buf500.yaml,True,True,True,True,0,1,True,completed,222.0,44.4,51.4,5,17.13,80.6875,-80.6875,-12.5417
split_cifar10,si_der,789,buf500,buffer,ablate_split_cifar10_si_der_buf500.yaml,True,True,True,True,0,1,True,completed,221.0,44.2,57.4,5,16.74,79.475,-79.475,-9.9167
split_cifar10,si_der,1024,buf500,buffer,ablate_split_cifar10_si_der_buf500.yaml,True,True,True,True,0,1,True,completed,217.3,43.46,57.0,5,16.89,81.05,-81.05,-13.0417
split_cifar10,xder,42,buf100,buffer,ablate_split_cifar10_xder_buf100.yaml,True,True,True,True,0,1,True,completed,128.9,25.78,28.9,5,18.0,77.1,-77.1,-15.6292
split_cifar10,xder,123,buf100,buffer,ablate_split_cifar10_xder_buf100.yaml,True,True,True,True,0,1,True,completed,120.0,24.0,25.1,5,18.3,78.6,-78.6,-16.0417
split_cifar10,xder,456,buf100,buffer,ablate_split_cifar10_xder_buf100.yaml,True,True,True,True,0,1,True,completed,131.4,26.28,30.1,5,18.61,77.1125,-77.1125,-14.1292
split_cifar10,xder,789,buf100,buffer,ablate_split_cifar10_xder_buf100.yaml,True,True,True,True,0,1,True,completed,115.9,23.18,25.2,5,18.1,79.8375,-79.8375,-13.1167
split_cifar10,xder,1024,buf100,buffer,ablate_split_cifar10_xder_buf100.yaml,True,True,True,True,0,1,True,completed,132.9,26.58,30.5,5,18.24,79.7875,-79.7875,-12.7667
split_cifar10,xder,42,buf200,buffer,ablate_split_cifar10_xder_buf200.yaml,True,True,True,True,0,1,True,completed,115.0,23.0,28.1,5,23.47,68.45,-68.45,-16.0417
split_cifar10,xder,123,buf200,buffer,ablate_split_cifar10_xder_buf200.yaml,True,True,True,True,0,1,True,completed,141.8,28.36,35.9,5,20.94,72.625,-72.625,-16.0417
split_cifar10,xder,456,buf200,buffer,ablate_split_cifar10_xder_buf200.yaml,True,True,True,True,0,1,True,completed,121.2,24.24,29.6,5,20.23,76.4625,-76.4625,-11.8167
split_cifar10,xder,789,buf200,buffer,ablate_split_cifar10_xder_buf200.yaml,True,True,True,True,0,1,True,completed,128.5,25.7,34.9,5,20.4,78.7375,-78.7375,-13.3917
split_cifar10,xder,1024,buf200,buffer,ablate_split_cifar10_xder_buf200.yaml,True,True,True,True,0,1,True,completed,131.5,26.3,33.4,5,21.04,74.6625,-74.6625,-13.4917
split_cifar10,xder,42,buf500,buffer,ablate_split_cifar10_xder_buf500.yaml,True,True,True,True,0,1,True,completed,130.1,26.02,27.6,5,19.28,75.5625,-75.5625,-16.0417
split_cifar10,xder,123,buf500,buffer,ablate_split_cifar10_xder_buf500.yaml,True,True,True,True,0,1,True,completed,120.2,24.04,25.5,5,19.21,74.3875,-74.3875,-16.0417
