dataset,method,model,n_epochs,batch_size,num_workers,fp16,buffer_size,seeds,total_time_sec_mean,total_time_sec_std,caveat_note,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,runtime_hours_mean,runtime_hours_std,estimated_memory_mb,method_family
split_cifar10,er_ewc,slim_resnet18,1,32,0,False,200,5,124.85999999999999,1.9243180610283677,,23.522000000000002,1.0732986536840525,73.1625,2.367471620738036,-73.1625,2.367471620738036,-15.3042,0.6230594875290802,0.03468333333333333,0.0005345327947301021,16.0,hybrid
split_cifar10,progress_compress,slim_resnet18,1,32,0,False,200,5,63.239999999999995,1.3685759021698474,,17.758000000000003,0.45680411556815187,80.16749999999999,1.071199677931242,-80.16749999999999,1.071199677931242,-13.9442,2.5669230120905455,0.017566666666666664,0.0003801599728249576,256.0,hybrid
split_cifar10,agem_distill,slim_resnet18,1,32,0,False,200,5,110.5,1.9685019685029526,,16.982,0.44807365465958804,80.05,1.7349126418929526,-80.05,1.7349126418929526,-15.4642,0.6380757204282258,0.030694444444444444,0.0005468061023619313,2.8125,hybrid
split_cifar10,si_der,slim_resnet18,1,32,0,False,200,5,173.32,24.316702079023784,,17.003999999999998,0.5286113884509103,80.1225,1.3608763261222476,-80.1225,1.3608763261222476,-13.1367,2.932223985305351,0.04814444444444444,0.006754639466395496,16.0,hybrid
split_cifar100,fine_tune,slim_resnet18,1,32,0,True,200,5,80.84,14.986093553691703,,2.13,0.2966479394838266,38.92,3.1869021596214715,-38.92,3.1869021596214715,-2.7345,0.0,0.022455555555555555,0.0041628037649143615,2.3438,baseline
split_cifar100,joint_training,slim_resnet18,1,32,0,True,200,5,66.34,2.5986534974867315,,46.746,1.2792888649558392,6.10104,1.0963541093095788,13.351560000000001,3.278440516922642,-2.7345,0.0,0.01842777777777778,0.0007218481937463143,2048.0,baseline
split_cifar100,ewc,slim_resnet18,1,32,0,True,200,5,381.78000000000003,2.9166761904606635,,2.05,0.2983286778035259,34.42948,2.8495037922417312,-34.42948,2.8495037922417312,-2.7345,0.0,0.10605,0.0008101878306835176,16.0,baseline
split_cifar100,agem,slim_resnet18,1,32,0,True,200,5,129.06,5.613198731561177,,2.196,0.4775772188871659,40.4716,3.519449650868724,-40.4716,3.519449650868724,-2.7345,0.0,0.03585,0.0015592218698781046,2.3438,baseline
split_cifar100,lwf,slim_resnet18,1,32,0,True,200,5,79.12,2.4417207047490117,,2.6079999999999997,0.23763417262675,42.090520000000005,1.933918915570143,-42.090520000000005,1.933918915570143,-2.7345,0.0,0.02197777777777778,0.00067825575131917,2.3438,baseline
split_cifar100,der,slim_resnet18,1,32,0,True,200,5,114.0,0.7810249675906632,,2.6799999999999997,0.32395987405850124,44.74948,2.154169614259751,-44.74948,2.154169614259751,-2.69658,0.06763938941179169,0.03166666666666667,0.00021695137988629533,2.8125,hybrid
