dataset,metric,method_a,method_b,n_pairs,rank_biserial,magnitude
split_mini_imagenet,avg_accuracy,joint_training,icarl,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,er_ewc,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,progress_compress,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,agem_distill,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,si_der,5,1.0,large
split_mini_imagenet,avg_accuracy,ewc,agem,5,0.6,large
split_mini_imagenet,avg_accuracy,ewc,lwf,5,0.6,large
split_mini_imagenet,avg_accuracy,ewc,der,5,0.6,large
split_mini_imagenet,avg_accuracy,ewc,xder,5,-1.0,large
split_mini_imagenet,avg_accuracy,ewc,icarl,5,-1.0,large
split_mini_imagenet,avg_accuracy,ewc,er_ewc,5,-1.0,large
split_mini_imagenet,avg_accuracy,ewc,progress_compress,5,-1.0,large
split_mini_imagenet,avg_accuracy,ewc,agem_distill,5,-0.866667,large
split_mini_imagenet,avg_accuracy,ewc,si_der,5,-1.0,large
split_mini_imagenet,avg_accuracy,agem,lwf,5,0.466667,medium
split_mini_imagenet,avg_accuracy,agem,der,5,-0.066667,negligible
split_mini_imagenet,avg_accuracy,agem,xder,5,-1.0,large
split_mini_imagenet,avg_accuracy,agem,icarl,5,-1.0,large
split_mini_imagenet,avg_accuracy,agem,er_ewc,5,-1.0,large
